Language,Countries,Degree of endangerment,Number of speakers,Endangerment Level,Total_Speakers,Duplicate_Columns,Endangerment_Level
ujir,Indonesia,definitely endangered,1200,2.0,1200,True,
ukhwejo,Central African Republic,severely endangered,2000,3.0,2000,True,
ulcha,Russian Federation,critically endangered,732,4.0,732,True,
ulithian,Micronesia (Federated States of),severely endangered,3000,3.0,3000,True,
ulwa,Nicaragua,severely endangered,500,3.0,500,True,
umbrul,Vanuatu,critically endangered,5,4.0,5,True,
ume saami,Sweden,critically endangered,20,4.0,20,True,
umpila,Australia,severely endangered,12,3.0,12,True,
umutina,Brazil,extinct,0,5.0,0,True,
unami,United States of America,extinct,1000,5.0,1000,True,
upland yuman,United States of America,vulnerable,1650,1.0,1650,True,
upper chehalis,United States of America,extinct,0,5.0,0,True,
upper kuskokwim,United States of America,critically endangered,25,4.0,25,True,
upper tanana,United States of America,critically endangered,55,4.0,55,True,
upper tanana,Canada,critically endangered,1000,4.0,1000,True,
upper umpqua,United States of America,extinct,0,5.0,0,True,
ura,Vanuatu,critically endangered,3,4.0,3,True,
urak lawoi,Malaysia,definitely endangered,2500,2.0,2500,True,
urak lawoi,Thailand,definitely endangered,2500,2.0,2500,True,
urarina,Peru,vulnerable,2000,1.0,2000,True,
uru,Bolivia (Plurinational State of),extinct,1,5.0,1,True,
urueuauau,Brazil,vulnerable,183,1.0,183,True,
uruak,Venezuela (Bolivarian Republic of),critically endangered,19,4.0,19,True,
uruava,Papua New Guinea,extinct,0,5.0,0,True,
urum,"Georgia, Russian Federation, Ukraine",definitely endangered,1000,2.0,1000,True,
urup,Brazil,extinct,0,5.0,0,True,
ushojo,Pakistan,definitely endangered,2000,2.0,2000,True,
usku,Indonesia,critically endangered,20,4.0,20,True,
uspantek,Guatemala,vulnerable,3971,1.0,3971,True,
usu,Papua New Guinea,severely endangered,93,3.0,93,True,
ute,United States of America,severely endangered,500,3.0,500,True,
utsat,China,definitely endangered,3700,2.0,3700,True,
vacacocha,Peru,critically endangered,2,4.0,2,True,
vafsi,Iran (Islamic Republic of),definitely endangered,18000,2.0,18000,True,
valle nacional chinantec,Mexico,definitely endangered,442,2.0,442,True,
valley yokuts,United States of America,severely endangered,30,3.0,30,True,
vano,Solomon Islands,critically endangered,5,4.0,5,True,
vedda,Sri Lanka,definitely endangered,300,2.0,300,True,
vehes,Papua New Guinea,severely endangered,100,3.0,100,True,
venetan,"Croatia, Italy, Slovenia",vulnerable,2000000,1.0,2000000,True,
ventureo,United States of America,extinct,0,5.0,0,True,
veps,Russian Federation,severely endangered,5753,3.0,5753,True,
veraa,Vanuatu,definitely endangered,300,2.0,300,True,
vidunda,United Republic of Tanzania,vulnerable,10000,1.0,10000,True,
vilamovian,Poland,severely endangered,70,3.0,70,True,
vilela,Argentina,extinct,0,5.0,0,True,
vohkon dialects,New Caledonia (France),definitely endangered,878,2.0,878,True,
vojvodina rusyn,"Croatia, Serbia",definitely endangered,30000,2.0,30000,True,
volow,Vanuatu,critically endangered,1,4.0,1,True,
vote,Russian Federation,critically endangered,20,4.0,20,True,
vumbu,Gabon,definitely endangered,2460,2.0,2460,True,
vroseto,"Estonia, Russian Federation",definitely endangered,50000,2.0,50000,True,
wa,Myanmar,severely endangered,1000,3.0,1000,True,
waanyi,Australia,critically endangered,4,4.0,4,True,
wab,Papua New Guinea,vulnerable,142,1.0,142,True,
wagiman,Australia,severely endangered,11,3.0,11,True,
waigali,Afghanistan,definitely endangered,2000,2.0,2000,True,
waimaa,Timor-Leste,definitely endangered,3000,2.0,3000,True,
waimiratroar,Brazil,vulnerable,1120,1.0,1120,True,
waiwai,Brazil,vulnerable,2916,1.0,2916,True,
waiwai,Suriname,critically endangered,750,4.0,750,True,
waiwai,Guyana,vulnerable,240,1.0,240,True,
wajarri,Australia,severely endangered,20,3.0,20,True,
wajpi,Brazil,vulnerable,905,1.0,905,True,
wakhi,"China, Pakistan, Tajikistan, Afghanistan",definitely endangered,75000,2.0,75000,True,
wali,Sudan,critically endangered,487,4.0,487,True,
walloon,"Belgium, France, Luxembourg",definitely endangered,600000,2.0,600000,True,
walmajarri,Australia,definitely endangered,500,2.0,500,True,
wambaya,Australia,critically endangered,20,4.0,20,True,
wambule,Nepal,vulnerable,4471,1.0,4471,True,
wampis,Peru,vulnerable,8000,1.0,8000,True,
wanai,Venezuela (Bolivarian Republic of),critically endangered,0,4.0,0,True,
wanano  kotiria,Brazil,vulnerable,650,1.0,650,True,
wanano  kotiria,Colombia,definitely endangered,1000,2.0,1000,True,
wancho,India,vulnerable,49000,1.0,49000,True,
wangaaybuwan,Australia,critically endangered,2,4.0,2,True,
wangkumara,Australia,critically endangered,0,4.0,0,True,
wanka quechua,Peru,severely endangered,35000,3.0,35000,True,
wano,Indonesia,definitely endangered,3500,2.0,3500,True,
waotededo,Ecuador,vulnerable,2000,1.0,2000,True,
wapishana,Guyana,vulnerable,7000,1.0,7000,True,
wapishana,Brazil,definitely endangered,4000,2.0,4000,True,
wappo,United States of America,extinct,0,5.0,0,True,
warao,"Guyana, Venezuela (Bolivarian Republic of)",definitely endangered,25000,2.0,25000,True,
warapu,Papua New Guinea,severely endangered,300,3.0,300,True,
wardaman,Australia,severely endangered,24,3.0,24,True,
warekena,Venezuela (Bolivarian Republic of),severely endangered,500,3.0,500,True,
warekena,Brazil,critically endangered,20,4.0,20,True,
wari,Brazil,definitely endangered,2721,2.0,2721,True,
wari,Indonesia,definitely endangered,150,2.0,150,True,
warlpiri,Australia,vulnerable,3000,1.0,3000,True,
warnang,Sudan,severely endangered,1100,3.0,1100,True,
warnman,Australia,severely endangered,30,3.0,30,True,
waru,Indonesia,definitely endangered,300,2.0,300,True,
warumungu,Australia,severely endangered,50,3.0,50,True,
washo,United States of America,severely endangered,24,3.0,24,True,
wauja,Brazil,vulnerable,321,1.0,321,True,
waunana,Colombia,vulnerable,11000,1.0,11000,True,
waunana,Panama,severely endangered,6882,3.0,6882,True,
waxiang,China,vulnerable,300000,1.0,300000,True,
wayana,Suriname,vulnerable,1500,1.0,1500,True,
wayana,Brazil,vulnerable,288,1.0,288,True,
welsh,United Kingdom of Great Britain and Northern Ireland,vulnerable,750000,1.0,750000,True,
west flemish,"Belgium, France, Netherlands",vulnerable,1500000,1.0,1500000,True,
west frisian,Netherlands,vulnerable,350000,1.0,350000,True,
west greenlandic,Greenland (Kingdom of Denmark),vulnerable,50000,1.0,50000,True,
western abenaki,Canada,critically endangered,1000,4.0,1000,True,
western abenaki,United States of America,extinct,1000,5.0,1000,True,
western apache,United States of America,definitely endangered,6000,2.0,6000,True,
western armenian,"Iraq, Lebanon, Syrian Arab Republic",definitely endangered,200000,2.0,200000,True,
western armenian,Turkey,definitely endangered,50000,2.0,50000,True,
western cham,Cambodia,vulnerable,200000,1.0,200000,True,
western chocho,Mexico,severely endangered,70,3.0,70,True,
western mansi,Russian Federation,extinct,0,5.0,0,True,
western mari,Russian Federation,severely endangered,36822,3.0,36822,True,
western mazahua,Mexico,definitely endangered,27037,2.0,27037,True,
western mazatec,Mexico,vulnerable,6639,1.0,6639,True,
western montagnais,Canada,vulnerable,2980,1.0,2980,True,
western neoaramaic,Syrian Arab Republic,definitely endangered,20000,2.0,20000,True,
western nhuatl,Mexico,severely endangered,1041,3.0,1041,True,
western otom,Mexico,severely endangered,415,3.0,415,True,
western popoloc,Mexico,severely endangered,516,3.0,516,True,
western tarahumara,Mexico,vulnerable,9196,1.0,9196,True,
western tlapanec,Mexico,vulnerable,549,1.0,549,True,
western zoque,Mexico,vulnerable,4100,1.0,4100,True,
white gelao,China,severely endangered,1200,3.0,1200,True,
white gelao,Viet Nam,severely endangered,20,3.0,20,True,
wichi,"Argentina, Bolivia (Plurinational State of)",vulnerable,1000,1.0,1000,True,
wichita,United States of America,critically endangered,10,4.0,10,True,
wik mungkan,Australia,vulnerable,1500,1.0,1500,True,
wik ngathan,Australia,definitely endangered,100,2.0,100,True,
wik ngencherr,Australia,severely endangered,30,3.0,30,True,
winnebago,United States of America,severely endangered,250,3.0,250,True,
wintunomlaki,United States of America,critically endangered,1,4.0,1,True,
wiradjuri,Australia,critically endangered,30,4.0,30,True,
wiyot,United States of America,extinct,0,5.0,0,True,
woleaian,Micronesia (Federated States of),severely endangered,1631,3.0,1631,True,
woods cree,Canada,vulnerable,9095,1.0,9095,True,
woria,Indonesia,critically endangered,13,4.0,13,True,
worrorra,Australia,critically endangered,4,4.0,4,True,
wotapurikatarqalai,Afghanistan,definitely endangered,2000,2.0,2000,True,
wotu,Indonesia,vulnerable,4500,1.0,4500,True,
wunai bunu,China,definitely endangered,8000,2.0,8000,True,
wunambal,Australia,critically endangered,5,4.0,5,True,
wuse,China,vulnerable,30000,1.0,30000,True,
wutun,China,definitely endangered,2000,2.0,2000,True,
xakriab,Brazil,extinct,0,5.0,0,True,
xambio,Brazil,critically endangered,10,4.0,10,True,
xaragure,New Caledonia (France),vulnerable,566,1.0,566,True,
xavante,Brazil,vulnerable,13303,1.0,13303,True,
xerente,Brazil,severely endangered,2569,3.0,2569,True,
xet,Brazil,critically endangered,8,4.0,8,True,
xinka,Guatemala,critically endangered,1283,4.0,1283,True,
xipya,Brazil,critically endangered,2,4.0,2,True,
xiri,South Africa,critically endangered,87,4.0,87,True,
xokleng,Brazil,critically endangered,100,4.0,100,True,
yaaku,Kenya,extinct,0,5.0,0,True,
yaeyama,Japan,severely endangered,1000,3.0,1000,True,
yaghnobi,Tajikistan,definitely endangered,20000,2.0,20000,True,
yagua,Peru,definitely endangered,4000,2.0,4000,True,
yahgan,Chile,critically endangered,1,4.0,1,True,
yakkha,Nepal,critically endangered,14648,4.0,14648,True,
yakut,Russian Federation,vulnerable,456288,1.0,456288,True,
yameo,Peru,extinct,0,5.0,0,True,
yami,China,vulnerable,2700,1.0,2700,True,
yaminahua,Brazil,vulnerable,600,1.0,600,True,
yaminahua,"Bolivia (Plurinational State of), Peru",severely endangered,400,3.0,400,True,
yamphu,Nepal,definitely endangered,1722,2.0,1722,True,
yannhangu,Australia,definitely endangered,61,2.0,61,True,
yanesha,Peru,severely endangered,8000,3.0,8000,True,
yangkam,Nigeria,critically endangered,100,4.0,100,True,
yankunytjatjara,Australia,definitely endangered,70,2.0,70,True,
yanomami,Brazil,vulnerable,6000,1.0,6000,True,
yanomami,Venezuela (Bolivarian Republic of),vulnerable,4000,1.0,4000,True,
yanomm,Brazil,vulnerable,4000,1.0,4000,True,
yanyuwa,Australia,severely endangered,70,3.0,70,True,
yapunda,Papua New Guinea,severely endangered,69,3.0,69,True,
yaqui,Mexico,vulnerable,11806,1.0,11806,True,
yaqui,United States of America,definitely endangered,510,2.0,510,True,
yarawata,Papua New Guinea,severely endangered,98,3.0,98,True,
yarawi,Papua New Guinea,critically endangered,1,4.0,1,True,
yasa,"Cameroon, Equatorial Guinea",definitely endangered,2401,2.0,2401,True,
yat,Brazil,severely endangered,1000,3.0,1000,True,
yavapai,United States of America,severely endangered,150,3.0,150,True,
yaw,Myanmar,definitely endangered,20000,2.0,20000,True,
yawalapiti,Brazil,critically endangered,10,4.0,10,True,
yawanaw,Brazil,vulnerable,519,1.0,519,True,
yawarana,Venezuela (Bolivarian Republic of),severely endangered,300,3.0,300,True,
yazgulami,Tajikistan,severely endangered,6000,3.0,6000,True,
yazva komi,Russian Federation,severely endangered,1000,3.0,1000,True,
yecuana,Venezuela (Bolivarian Republic of),vulnerable,5000,1.0,5000,True,
yecuana,Brazil,vulnerable,430,1.0,430,True,
yem,Ethiopia,vulnerable,81613,1.0,81613,True,
yerong,China,severely endangered,380,3.0,380,True,
yeyi,Botswana,definitely endangered,20000,2.0,20000,True,
yiddish,Israel,definitely endangered,3000000,2.0,3000000,True,
yiddish,"Germany, Austria, Belarus, Belgium, Denmark, Estonia, Finland, France, Hungary, Italy, Latvia, Lithuania, Luxembourg, Republic of Moldova, Norway, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Sweden, Switzerland, Czech Republic, Ukraine",definitely endangered,1000,2.0,1000,True,
yidgha,Pakistan,definitely endangered,5500,2.0,5500,True,
yiiji,Australia,critically endangered,10,4.0,10,True,
yimas,Papua New Guinea,severely endangered,300,3.0,300,True,
yimchungru,India,vulnerable,92000,1.0,92000,True,
yine,Peru,definitely endangered,2150,2.0,2150,True,
yir yoront,Australia,extinct,0,5.0,0,True,
yoba,Papua New Guinea,extinct,0,5.0,0,True,
yoki,Indonesia,severely endangered,40,3.0,40,True,
yola,Ireland,extinct,0,5.0,0,True,
yonaguni,Japan,severely endangered,1000,3.0,1000,True,
younuo bunu,China,definitely endangered,4000,2.0,4000,True,
yucatec,Belize,definitely endangered,3155,2.0,3155,True,
yuchi,United States of America,critically endangered,5,4.0,5,True,
yucuna,Colombia,definitely endangered,1000,2.0,1000,True,
yudja,Brazil,vulnerable,362,1.0,362,True,
yug,Russian Federation,extinct,0,5.0,0,True,
yuhup,Brazil,vulnerable,617,1.0,617,True,
yuhup,Colombia,definitely endangered,550,2.0,550,True,
yuki,Bolivia (Plurinational State of),severely endangered,125,3.0,125,True,
yuki,United States of America,extinct,0,5.0,0,True,
yukpa,Venezuela (Bolivarian Republic of),vulnerable,3000,1.0,3000,True,
yulu,"Central African Republic, Democratic Republic of the Congo, Sudan",vulnerable,7000,1.0,7000,True,
yuracar,Bolivia (Plurinational State of),definitely endangered,2675,2.0,2675,True,
yurats,Russian Federation,extinct,0,5.0,0,True,
yurok,United States of America,critically endangered,12,4.0,12,True,
yurt tatar,Russian Federation,definitely endangered,12000,2.0,12000,True,
yurut,Brazil,extinct,0,5.0,0,True,
yurut,Colombia,definitely endangered,1000,2.0,1000,True,
zaiwa,"China, India",definitely endangered,1000,2.0,1000,True,
zangskari,"India, Pakistan",definitely endangered,1000,2.0,1000,True,
zaozou,China,vulnerable,2100,1.0,2100,True,
zaparo,"Ecuador, Peru",critically endangered,9,4.0,9,True,
zapotec of asuncin tlacolulita,Mexico,critically endangered,53,4.0,53,True,
zapotec of mixtepe,Mexico,critically endangered,14,4.0,14,True,
zapotec of petapa,Mexico,definitely endangered,4613,2.0,4613,True,
zapotec of san antonino el alto,Mexico,definitely endangered,504,2.0,504,True,
zapotec of san bartolo yautepec,Mexico,severely endangered,246,3.0,246,True,
zapotec of san felipe tejalapan,Mexico,critically endangered,50,4.0,50,True,
zapotec of zimatln de lvarez,Mexico,definitely endangered,562,2.0,562,True,
zapotec of the southern mountains eastern lowlands,Mexico,definitely endangered,420,2.0,420,True,
zapotec of the southern mountains northeast,Mexico,definitely endangered,849,2.0,849,True,
zapotec of the southern mountains northwest lowlands,Mexico,definitely endangered,164,2.0,164,True,
zapotec of the valleys north,Mexico,severely endangered,1303,3.0,1303,True,
zapotec of the valleys central,Mexico,severely endangered,257,3.0,257,True,
zapotec of the valleys middle northwest,Mexico,definitely endangered,20448,2.0,20448,True,
zapotec of the valleys west,Mexico,definitely endangered,211,2.0,211,True,
zaramo,United Republic of Tanzania,definitely endangered,50000,2.0,50000,True,
zay,Ethiopia,severely endangered,1000,3.0,1000,True,
zazaki,Turkey,vulnerable,2000000,1.0,2000000,True,
zazao,Solomon Islands,critically endangered,166,4.0,166,True,
zeem,Nigeria,extinct,0,5.0,0,True,
zeme,India,vulnerable,34000,1.0,34000,True,
zenaga,Mauritania,severely endangered,4000,3.0,4000,True,
zenaga,Western Sahara,critically endangered,1000,4.0,1000,True,
zenatiya,Algeria,critically endangered,50000,4.0,50000,True,
zhaba,China,vulnerable,7000,1.0,7000,True,
zidgali,Oman,critically endangered,1000,4.0,1000,True,
zirenkel,Chad,definitely endangered,2500,2.0,2500,True,
zo,Brazil,vulnerable,177,1.0,177,True,
zor,Brazil,vulnerable,464,1.0,464,True,
zumaya,Cameroon,critically endangered,25,4.0,25,True,
zuni,United States of America,vulnerable,9000,1.0,9000,True,
auni,South Africa,extinct,0,5.0,0,True,
gui,Botswana,vulnerable,1000,1.0,1000,True,
xaise,Botswana,critically endangered,200,4.0,200,True,
xam,South Africa,extinct,0,5.0,0,True,
mrillon,French Guiana (France),severely endangered,400,3.0,400,True,
andeva guarani,Brazil,vulnerable,10000,1.0,10000,True,
ani,Botswana,definitely endangered,1000,2.0,1000,True,
gana,Botswana,vulnerable,1550,1.0,1550,True,
ku e,South Africa,extinct,0,5.0,0,True,
kxau,South Africa,extinct,0,5.0,0,True,
xegwi,South Africa,extinct,0,5.0,0,True,
hoa,Botswana,critically endangered,140,4.0,140,True,
amharic,Ethiopia,Safe,60000000,,60000000,False,0.0
arabic,Many,Safe,435000000,,435000000,False,0.0
bengali,Bangladesh,Safe,278000000,,278000000,False,0.0
bhojpuri,India,Safe,53000000,,53000000,False,0.0
chinese,China,Safe,1361000000,,1361000000,False,0.0
english,Many,Safe,1515000000,,1515000000,False,0.0
french,Many,Safe,312000000,,312000000,False,0.0
german,Many,Safe,134000000,,134000000,False,0.0
gujarati,India,Safe,63000000,,63000000,False,0.0
hausa,Many,Safe,88000000,,88000000,False,0.0
hindi,India,Safe,609000000,,609000000,False,0.0
indonesian,indonesia,Safe,199000000,,199000000,False,0.0
iranian,iran,Safe,78000000,,78000000,False,0.0
italian,italy,Safe,67000000,,67000000,False,0.0
japanese,japan,Safe,123000000,,123000000,False,0.0
javanese,indonesia,Safe,68000000,,68000000,False,0.0
kannada,India,Safe,59000000,,59000000,False,0.0
korean,korea,Safe,81000000,,81000000,False,0.0
marathi,India,Safe,99000000,,99000000,False,0.0
nigerian,nigeria,Safe,121000000,,121000000,False,0.0
portuguese,Many,Safe,264000000,,264000000,False,0.0
punjabi,India,Safe,82000000,,82000000,False,0.0
russian,Russia,Safe,255000000,,255000000,False,0.0
spanish,Many,Safe,560000000,,560000000,False,0.0
swahili,Many,Safe,87000000,,87000000,False,0.0
tagalogb,Philippines,Safe,83000000,,83000000,False,0.0
tamil,Sri Lanka,Safe,87000000,,87000000,False,0.0
telugu,telugu,Safe,96000000,,96000000,False,0.0
thai,Thailand,Safe,61000000,,61000000,False,0.0
turkish,turkey,Safe,90000000,,90000000,False,0.0
urdu,Pakistan,Safe,238000000,,238000000,False,0.0
vietnamese,vietnam,Safe,86000000,,86000000,False,0.0
