Language,Countries,Degree of endangerment,Number of speakers,Endangerment_Level
ishkashimi,Tajikistan,Severely endangered,1000,3
isirawa,Indonesia,Vulnerable,1800,1
island carib,Dominica,Extinct,0,5
island chumash,United States of America,Extinct,0,5
isthmus nhuatl,Mexico,Vulnerable,26632,1
istriot,Croatia,Severely endangered,400,3
istroromanian,Croatia,Severely endangered,300,3
isu,Cameroon,Severely endangered,800,3
itelmen,Russian Federation,Critically endangered,100,4
iteri,Papua New Guinea,Severely endangered,90,3
itik,Indonesia,Vulnerable,80,1
itonama,Bolivia (Plurinational State of),Critically endangered,5,4
itz,Guatemala,Critically endangered,1094,4
iwaidja,Australia,Vulnerable,200,1
ixcatec,Mexico,Critically endangered,21,4
ixcatln mazatec,Mexico,Vulnerable,8593,1
ixil guatemala,Guatemala,Vulnerable,83574,1
ixil mexico,Mexico,Critically endangered,64,4
ixtenco otom,Mexico,Severely endangered,461,3
iyive,Cameroon,Severely endangered,1000,3
iapari,Peru,Critically endangered,600,4
jad,"India, Pakistan",Definitely endangered,1000,2
jah hut,Malaysia,Severely endangered,1500,3
jahai,Malaysia,Critically endangered,1000,4
jakaltek guatemala,Guatemala,Definitely endangered,34038,2
jakaltek mexico,Mexico,Severely endangered,504,3
jamamad,Brazil,Vulnerable,800,1
jaminjung,Australia,Severely endangered,15,3
jangshung,India,Definitely endangered,2000,2
jaqaru,Peru,Severely endangered,750,3
jarawa,India,Critically endangered,31,4
jarawra,Brazil,Vulnerable,180,1
jaunsari,India,Definitely endangered,114733,2
java,Brazil,Definitely endangered,800,2
javindo creole,Indonesia,Critically endangered,1000,4
jawe,New Caledonia (France),Vulnerable,729,1
jawoyn,Australia,Severely endangered,20,3
jaya,Chad,Severely endangered,2200,3
jebero,Peru,Critically endangered,100,4
jeju,Republic of Korea,Critically endangered,1000,4
jemez,United States of America,Vulnerable,3000,1
jeri,Côte d'Ivoire,Severely endangered,1500,3
jero,Nepal,Vulnerable,2000,1
jersey french,United Kingdom of Great Britain and Northern Ireland,Severely endangered,2874,3
jibbali,Oman,Severely endangered,5000,3
jicarilla apache,United States of America,Severely endangered,300,3
jilbe,Nigeria,Critically endangered,100,4
jingulu,Australia,Severely endangered,14,3
jinuo,China,Definitely endangered,12000,2
jiongnai bunu,China,Definitely endangered,1000,2
jirel,Nepal,Definitely endangered,4919,2
jitnu,Colombia,Definitely endangered,1000,2
jolakassa,Senegal,Vulnerable,40850,1
jone,China,Definitely endangered,24000,2
jonkor bourmataguil,Chad,Severely endangered,1500,3
jor,Bolivia (Plurinational State of),Critically endangered,0,4
juang,India,Definitely endangered,23000,2
judeoberber israel,Israel,Severely endangered,30000,3
judeoberber morocco,Morocco,Extinct,0,5
judezmo europe,"Albania, Algeria, Bosnia and Herzegovina, Bulgaria, Croatia, Greece, The former Yugoslav Republic of Macedonia, Morocco, Romania, Turkey, Serbia",Severely endangered,1000,3
judezmo israel,Israel,Severely endangered,400000,3
juhur caucasus,"Azerbaijan, Russian Federation",Definitely endangered,3016,2
juhur israel,Israel,Definitely endangered,1000,2
juk,Lao People's Democratic Republic,Definitely endangered,15000,2
juma,Brazil,Critically endangered,5,4
kemant,Ethiopia,Severely endangered,1500,3
kiche guatemala,Guatemala,Vulnerable,890596,1
kiche mexico,Mexico,Definitely endangered,226,2
kaapr,Brazil,Vulnerable,991,1
kaande,Gabon,Severely endangered,1000,3
kabardcherkes,"Russian Federation, Turkey",Vulnerable,650000,1
kabui,India,Vulnerable,95000,1
kachari,India,Definitely endangered,59000,2
kaco,Cambodia,Definitely endangered,1000,2
kadai,Indonesia,Definitely endangered,200,2
kadaru,Sudan,Definitely endangered,12360,2
kadiwu,Brazil,Definitely endangered,1600,2
kadu,Myanmar,Severely endangered,1000,3
kaibobo,Indonesia,Definitely endangered,250,2
kaiep,Papua New Guinea,Vulnerable,250,1
kaike,Nepal,Definitely endangered,794,2
kaingang,Brazil,Definitely endangered,18500,2
kaiow guarani,Brazil,Vulnerable,20000,1
kairuimidiki,Timor-Leste,Vulnerable,1000,1
kaixna,Brazil,Critically endangered,1,4
kaiy,Indonesia,Vulnerable,250,1
kaki ae,Papua New Guinea,Vulnerable,266,1
kalamo,Papua New Guinea,Severely endangered,100,3
kalao,Indonesia,Definitely endangered,400,2
kalapalo,Brazil,Vulnerable,506,1
kalasha,Pakistan,Severely endangered,5000,3
kalaw lagaw ya,Australia,Definitely endangered,700,2
kalispel,United States of America,Critically endangered,5,4
kalmyk,Russian Federation,Definitely endangered,153602,2
kamaiur,Brazil,Vulnerable,400,1
kamara,Ghana,Definitely endangered,3000,2
kamarian,Indonesia,Critically endangered,10,4
kamas,Russian Federation,Extinct,0,5
kamas turk,Russian Federation,Extinct,0,5
kamasa,Papua New Guinea,Critically endangered,20,4
kami,United Republic of Tanzania,Severely endangered,5000,3
kanakanabu,China,Critically endangered,20,4
kanashi,India,Definitely endangered,1500,2
kandas,Papua New Guinea,Vulnerable,300,1
kanela apaniekra,Brazil,Vulnerable,458,1
kanela rankokamekra,Brazil,Vulnerable,1337,1
kanga,Sudan,Severely endangered,8000,3
kangdi,India,Safe,1700000,0
kangjia,China,Severely endangered,300,3
kaniet,Papua New Guinea,Extinct,0,5
kaningara,Papua New Guinea,Vulnerable,327,1
kanowit,Malaysia,Severely endangered,100,3
kano,Brazil,Critically endangered,5,4
kansa,United States of America,Extinct,0,5
kao,Indonesia,Definitely endangered,200,2
kapingamarangi,Micronesia (Federated States of),Severely endangered,3000,3
kapori,Indonesia,Critically endangered,35,4
kaqchikel guatemala,Guatemala,Vulnerable,444954,1
kaqchikel mexico,Mexico,Critically endangered,35,4
karachaybalkar,Russian Federation,Vulnerable,302748,1
karagash,Russian Federation,Definitely endangered,7000,2
karaim crimea,Ukraine,Extinct,0,5
karaim lithuania,Lithuania,Severely endangered,50,3
karaim western ukraine,Ukraine,Critically endangered,6,4
karajarri,Australia,Critically endangered,10,4
karaj,Brazil,Vulnerable,1500,1
karami,Papua New Guinea,Extinct,0,5
karang,Chad,Vulnerable,10000,1
karas,Indonesia,Severely endangered,100,3
karata,Russian Federation,Definitely endangered,6574,2
karbi,India,Vulnerable,420000,1
karelian karelia,"Finland, Russian Federation",Definitely endangered,20000,2
karelian tikhvin,Russian Federation,Severely endangered,1500,3
karelian tver,Russian Federation,Definitely endangered,10000,2
karelian valday,Russian Federation,Extinct,0,5
kari,Democratic Republic of the Congo,Severely endangered,1000,3
karia brazil,Brazil,Definitely endangered,66,2
karia french guyana,French Guiana (France),Definitely endangered,2000,2
karia guyana suriname,"Guyana, Suriname",Severely endangered,4000,3
karia venezuela,Venezuela (Bolivarian Republic of),Severely endangered,11000,3
karipuna,Brazil,Definitely endangered,10,2
karipuna do amap,Brazil,Vulnerable,2200,1
karitiana,Brazil,Vulnerable,320,1
karko,Sudan,Definitely endangered,12986,2
karo,Brazil,Vulnerable,208,1
karo,Ethiopia,Critically endangered,200,4
karone,Senegal,Vulnerable,10000,1
karore,Papua New Guinea,Vulnerable,550,1
karuk,United States of America,Severely endangered,12,3
kasanga,Guinea-Bissau,Critically endangered,650,4
kashaya,United States of America,Critically endangered,24,4
kashubian,Poland,Severely endangered,53000,3
kaska,Canada,Severely endangered,155,3
kasong,"Cambodia, Thailand",Critically endangered,50,4
katabaga,Philippines,Extinct,0,5
katawixi,Brazil,Critically endangered,10,4
kathu,China,Definitely endangered,5000,2
kati,"Pakistan, Afghanistan",Definitely endangered,18700,2
katla,Sudan,Definitely endangered,14208,2
kato,United States of America,Extinct,0,5
katukina do acre,Brazil,Severely endangered,404,3
katuknakanamar,Brazil,Vulnerable,2100,1
katxuyanaxikuyna,Brazil,Vulnerable,150,1
kaurna,Australia,Critically endangered,1000,4
kavalan,China,Critically endangered,24,4
kawaiisu,United States of America,Critically endangered,10,4
kawucha,Papua New Guinea,Critically endangered,30,4
kaxarari,Brazil,Critically endangered,300,4
kayabi,Brazil,Vulnerable,1000,1
kayardild,Australia,Critically endangered,8,4
kayeli,Indonesia,Extinct,0,5
kayupulau,Indonesia,Critically endangered,50,4
kazukuru,Solomon Islands,Extinct,0,5
kede,Angola,Extinct,0,5
keder,Indonesia,Severely endangered,180,3
keiga,Sudan,Severely endangered,6072,3
kelo,Sudan,Critically endangered,200,4
kembra,Indonesia,Critically endangered,20,4
kemi saami,Finland,Extinct,0,5
kenaboi,Malaysia,Extinct,0,5
kendeje,Chad,Definitely endangered,1859,2
kendem,Cameroon,Severely endangered,1500,3
kensiw malaysia,Malaysia,Critically endangered,1000,4
kensiw thailand,Thailand,Severely endangered,500,3
kentak,Malaysia,Critically endangered,1000,4
kerek,Russian Federation,Extinct,0,5
ket,Russian Federation,Severely endangered,150,3
ketangalan,China,Extinct,0,5
khacca bhoe,Nepal,Definitely endangered,0,2
khakas,Russian Federation,Definitely endangered,52217,2
khalaj,Iran (Islamic Republic of),Vulnerable,42100,1
khaling,Nepal,Definitely endangered,9288,2
kham,Nepal,Definitely endangered,30000,2
khamba,"China, India",Definitely endangered,1500,2
khamnigan mongol,"China, Mongolia, Russian Federation",Definitely endangered,2000,2
khampti,India,Vulnerable,13000,1
khang quang lam,Viet Nam,Severely endangered,3921,3
kharia,India,Vulnerable,200000,1
khasali,India,Definitely endangered,1000,2
khasi,India,Vulnerable,912000,1
kheng,Bhutan,Vulnerable,40000,1
kheza,India,Vulnerable,41000,1
khiamngan,India,Vulnerable,38000,1
khinalug,Azerbaijan,Severely endangered,2500,3
khmin,China,Vulnerable,500,1
khoirao,India,Vulnerable,20000,1
khojki,Oman,Severely endangered,5000,3
khorasani turk,Iran (Islamic Republic of),Vulnerable,200000,1
khowa,India,Definitely endangered,1000,2
khowar,Pakistan,Vulnerable,222800,1
khunsari,Iran (Islamic Republic of),Definitely endangered,21000,2
khvarshi,Russian Federation,Definitely endangered,500,2
khwe,Namibia,Definitely endangered,5000,2
khvsgl uryangkhay,Mongolia,Critically endangered,10,4
kickapoo kansas,United States of America,Severely endangered,400,3
kickapoo mexico,Mexico,Critically endangered,144,4
kickapoo oklahoma,United States of America,Severely endangered,400,3
kickapoo texas,United States of America,Severely endangered,400,3
kija,Australia,Severely endangered,60,3
kiksht,United States of America,Critically endangered,7,4
kildin saami,Russian Federation,Severely endangered,787,3
kilen,"China, Russian Federation",Critically endangered,20,4
kili,Russian Federation,Severely endangered,1000,3
kilit,Azerbaijan,Extinct,0,5
kiliwa,Mexico,Critically endangered,56,4
kim,Sierra Leone,Critically endangered,20,4
kinare,Kenya,Extinct,0,5
kings river yokuts,United States of America,Critically endangered,6,4
kinikinau,Brazil,Critically endangered,11,4
kinnauri,India,Definitely endangered,65097,2
kiong,Nigeria,Critically endangered,100,4
kiowa,United States of America,Severely endangered,400,3
kiowa apache,United States of America,Critically endangered,3,4
kisdj,Brazil,Vulnerable,351,1
kivallirmiutut,Canada,Vulnerable,4675,1
klallam,United States of America,Critically endangered,2,4
klamathmodoc,United States of America,Extinct,0,5
ko,Sudan,Critically endangered,2683,4
koasati louisiana,United States of America,Definitely endangered,450,2
koasati texas,United States of America,Definitely endangered,450,2
koch,India,Definitely endangered,31000,2
koda,India,Vulnerable,25000,1
kodagu,India,Definitely endangered,166187,2
kodeoha,Indonesia,Vulnerable,1000,1
kofei,Indonesia,Severely endangered,100,3
kogui,Colombia,Vulnerable,9911,1
kohi,Nepal,Vulnerable,2641,1
koireng,India,Critically endangered,1056,4
koitabu,Papua New Guinea,Vulnerable,3000,1
kokborok,"Bangladesh, India",Vulnerable,695000,1
koke,Chad,Severely endangered,600,3
koko bera,Australia,Severely endangered,20,3
kokota,Solomon Islands,Vulnerable,200,1
kolami,India,Definitely endangered,121855,2
kom,India,Definitely endangered,5000,2
komi,Russian Federation,Definitely endangered,217316,2
komo,"Ethiopia, Sudan",Definitely endangered,11500,2
kona,Nigeria,Severely endangered,2000,3
konda,India,Definitely endangered,118597,2
koneraw,Indonesia,Vulnerable,200,1
konkow,United States of America,Critically endangered,3,4
konni,Ghana,Vulnerable,3800,1
konomihu,United States of America,Extinct,0,5
konyak,India,Vulnerable,248000,1
koraga,India,Critically endangered,16665,4
korana,South Africa,Critically endangered,6,4
korandje,Algeria,Severely endangered,5000,3
kore,Kenya,Extinct,0,5
koreguaje,Colombia,Definitely endangered,2000,2
korku,India,Vulnerable,200000,1
koro,Vanuatu,Definitely endangered,160,2
koro,India,Definitely endangered,1000,2
koroni,Indonesia,Definitely endangered,400,2
koroshi,Iran (Islamic Republic of),Critically endangered,200,4
korwa,India,Vulnerable,35000,1
koryak,Russian Federation,Severely endangered,2000,3
korbo,Brazil,Vulnerable,205,1
kosraean,"Micronesia (Federated States of), Nauru",Severely endangered,6900,3
kota,India,Critically endangered,2000,4
kott,Russian Federation,Extinct,0,5
kowaki,Papua New Guinea,Critically endangered,31,4
kowiai,Indonesia,Vulnerable,600,1
koyukon,United States of America,Critically endangered,150,4
krah,Brazil,Vulnerable,2184,1
kraol,Cambodia,Critically endangered,1000,4
kravet,Cambodia,Critically endangered,1000,4
krenak,Brazil,Critically endangered,10,4
krenj,Brazil,Extinct,0,5
krevin,Latvia,Extinct,0,5
kri,Lao People's Democratic Republic,Severely endangered,31,3
krikati,Brazil,Vulnerable,682,1
kristang,Malaysia,Severely endangered,2150,3
krongo,Sudan,Definitely endangered,21688,2
krueng,Cambodia,Severely endangered,1000,3
kryz,Azerbaijan,Severely endangered,10000,3
kua,Botswana,Definitely endangered,900,2
kuay,Cambodia,Severely endangered,1000,3
kuducamo,Nigeria,Critically endangered,42,4
kui,India,Vulnerable,916222,1
kuikuro,Brazil,Vulnerable,600,1
kujarge,Chad,Definitely endangered,1000,2
kujubim,Brazil,Critically endangered,2,4
kuk,Cameroon,Definitely endangered,3000,2
kukatja,Australia,Vulnerable,1000,1
kuku yalanji,Australia,Severely endangered,23,3
kulfa,Chad,Definitely endangered,2200,2
kulina pno,Brazil,Severely endangered,20,3
kului,India,Definitely endangered,170770,2
kulun,China,Extinct,0,5
kulung,Nepal,Vulnerable,18686,1
kumak,New Caledonia (France),Vulnerable,847,1
kumaoni,"India, Nepal",Safe,2003783,0
kumyk,Russian Federation,Vulnerable,458121,1
kumzari,Oman,Severely endangered,1700,3
kumle,Nepal,Severely endangered,6533,3
kuna colombia,Colombia,Severely endangered,876,3
kuna panama,Panama,Vulnerable,61703,1
kunbarlang,Australia,Severely endangered,140,3
kundal shahi,"India, Pakistan",Definitely endangered,500,2
kung,Cameroon,Severely endangered,1750,3
kunigami,Japan,Definitely endangered,1000,2
kunjen,Australia,Critically endangered,2,4
kunwinjku,Australia,Vulnerable,974,1
kuot,Papua New Guinea,Vulnerable,1000,1
kurrama,Australia,Critically endangered,10,4
kurripako brazil,Brazil,Vulnerable,1332,1
kurripako colombia venezuela,"Colombia, Venezuela (Bolivarian Republic of)",Definitely endangered,10000,2
kurru,India,Definitely endangered,300000,2
kurtjar,Australia,Extinct,0,5
kurtp,Bhutan,Vulnerable,10000,1
kuruba,India,Critically endangered,14613,4
kurux bangladesh,Bangladesh,Vulnerable,65000,1
kurux india,India,Safe,1751489,0
kurux nepal,Nepal,Vulnerable,28615,1
kuruya,Brazil,Critically endangered,2,4
kusunda,Nepal,Critically endangered,87,4
kutenai,"Canada, United States of America",Severely endangered,135,3
kuuku yau,Australia,Critically endangered,9,4
kuurinji,Australia,Definitely endangered,175,2
kuvi,India,Definitely endangered,300000,2
kwadza,United Republic of Tanzania,Extinct,0,5
kwadi,Angola,Extinct,0,5
kwakwala,"Canada, United States of America",Critically endangered,315,4
kwama,Ethiopia,Vulnerable,15000,1
kwansu,Indonesia,Vulnerable,300,1
kwatay,Senegal,Severely endangered,5625,3
kwaz,Brazil,Critically endangered,25,4
kwegu,Ethiopia,Critically endangered,103,4
kwerisa,Indonesia,Critically endangered,30,4
kwisi,Angola,Extinct,0,5
kyakala,China,Extinct,0,5
kgate,Nepal,Definitely endangered,1273,2
laal,Chad,Critically endangered,749,4
labo,Vanuatu,Vulnerable,350,1
lacandn,Mexico,Critically endangered,563,4
lachi,Viet Nam,Definitely endangered,5000,2
ladakhi,"China, India",Vulnerable,105000,1
ladin,Italy,Definitely endangered,30000,2
lae,Papua New Guinea,Extinct,1,5
laemae,China,Severely endangered,15000,3
lafofa,Sudan,Severely endangered,5140,3
laghu,Solomon Islands,Extinct,0,5
laghuu,Viet Nam,Definitely endangered,500,2
laha lao cai,Viet Nam,Definitely endangered,500,2
laha son la,Viet Nam,Definitely endangered,500,2
lai,China,Definitely endangered,3000,2
laiyolo,Indonesia,Definitely endangered,600,2
laji,China,Critically endangered,250,4
lajia,China,Definitely endangered,8000,2
lak,Russian Federation,Vulnerable,153373,1
lake miwok,United States of America,Critically endangered,3,4
lakha,Bhutan,Definitely endangered,8000,2
lakon,Vanuatu,Vulnerable,700,1
lakota,Canada,Critically endangered,1000,4
lalo,China,Vulnerable,400000,1
lamgang,India,Critically endangered,10000,4
lamongse,India,Critically endangered,400,4
lamu,China,Critically endangered,120,4
langa,Cameroon,Severely endangered,500,3
langrong,India,Critically endangered,1000,4
langthang tibetan,Nepal,Definitely endangered,0,2
languedocian,France,Severely endangered,500000,3
lanoh,Malaysia,Critically endangered,1800,4
laomian china,China,Definitely endangered,2500,2
laomian myanmar,Myanmar,Definitely endangered,2500,2
lardil,Australia,Critically endangered,10,4
lari,Iran (Islamic Republic of),Definitely endangered,80000,2
laro,Sudan,Definitely endangered,40000,2
latgalian,"Latvia, Russian Federation",Vulnerable,150000,1
laua,Papua New Guinea,Critically endangered,1,4
lauje,Indonesia,Vulnerable,32000,1
lavua,Thailand,Definitely endangered,15000,2
laxudumau,Papua New Guinea,Vulnerable,500,1
laz,"Georgia, Turkey",Definitely endangered,130000,2
leco,Bolivia (Plurinational State of),Critically endangered,20,4
legenyem,Indonesia,Vulnerable,300,1
lehali,Vanuatu,Vulnerable,250,1
lemerig,Vanuatu,Critically endangered,2,4
lemolang,Indonesia,Vulnerable,1800,1
lenca,"El Salvador, Honduras",Extinct,0,5
lengilu,Indonesia,Critically endangered,4,4
lengua,Paraguay,Severely endangered,1000,3
lepcha,"Bhutan, India, Nepal",Definitely endangered,30000,2
lezgian,"Azerbaijan, Russian Federation",Vulnerable,500000,1
lhokpu,Bhutan,Definitely endangered,2500,2
lhota,India,Vulnerable,170000,1
lingbee,Democratic Republic of the Congo,Extinct,0,5
liangmai,India,Vulnerable,34000,1
ligurian,"France, Italy, Monaco",Definitely endangered,1000000,2
liki,Indonesia,Critically endangered,5,4
likum,Papua New Guinea,Definitely endangered,100,2
liliali,Indonesia,Extinct,0,5
lillooet,Canada,Severely endangered,250,3
limbu,"India, Nepal",Definitely endangered,300000,2
limburgianripuarian,"Germany, Belgium, Netherlands",Safe,2600000,0
limirong tibetan,Nepal,Definitely endangered,3000,2
limonese creole,Costa Rica,Definitely endangered,55000,2
limousin,France,Severely endangered,400000,3
lipan,United States of America,Extinct,0,5
lisela,Indonesia,Vulnerable,9000,1
lishan didan iran,Iran (Islamic Republic of),Extinct,0,5
lishan didan israel,Israel,Severely endangered,4000,3
lishana deni iraq,Iraq,Extinct,0,5
lishana deni israel,Israel,Severely endangered,7500,3
lishanid noshan iraq,Iraq,Extinct,0,5
lishanid noshan israel,Israel,Severely endangered,3000,3
lishpa,India,Definitely endangered,1500,2
livonian,Latvia,Critically endangered,1000,4
logol,Sudan,Severely endangered,2600,3
logorik,Sudan,Critically endangered,2000,4
logudorese,Italy,Definitely endangered,400000,2
lohorung,Nepal,Severely endangered,1207,3
loke tibetan,Nepal,Definitely endangered,0,2
lokono guyana,"Guyana, Venezuela (Bolivarian Republic of)",Critically endangered,1750,4
lokono suriname,"French Guiana (France), Suriname",Severely endangered,1000,3
lola,Indonesia,Vulnerable,830,1
lolak,Indonesia,Critically endangered,50,4
lom,Indonesia,Critically endangered,10,4
lombard,"Italy, Switzerland",Safe,3500000,0
lorediakarkar,Vanuatu,Critically endangered,10,4
lorkoti,Kenya,Extinct,0,5
lorrain,"Belgium, France",Severely endangered,1000,3
loun,Indonesia,Critically endangered,20,4
low saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation",Safe,4800000,0
lower chehalis,United States of America,Extinct,0,5
lower mixe,Mexico,Vulnerable,37000,1
lower northwestern otom,Mexico,Vulnerable,6509,1
lowland chontal,Mexico,Critically endangered,1060,4
lowland mazatec,Mexico,Vulnerable,18389,1
lua,Thailand,Definitely endangered,1000,2
lude,Russian Federation,Severely endangered,3000,3
luiseo,United States of America,Critically endangered,5,4
lule saami,"Norway, Sweden",Severely endangered,2000,3
lumun,Sudan,Definitely endangered,45000,2
luri,Nigeria,Critically endangered,2,4
luro,India,Critically endangered,2000,4
lushootseed,United States of America,Critically endangered,5,4
lyp,Vanuatu,Vulnerable,250,1
mabiri,Chad,Critically endangered,3,4
macaguaje,Colombia,Extinct,1000,5
machiguenga,Peru,Definitely endangered,11000,2
machineri bolivia,Bolivia (Plurinational State of),Severely endangered,140,3
machineri brazil,Brazil,Vulnerable,937,1
macuna brazil,Brazil,Vulnerable,32,1
macuna colombia,Colombia,Definitely endangered,1000,2
macushi brazil,Brazil,Vulnerable,15000,1
macushi guyana,Guyana,Vulnerable,7750,1
madngele,Australia,Critically endangered,10,4
mafea,Vanuatu,Definitely endangered,70,2
magar,Nepal,Definitely endangered,489383,2
magori,Papua New Guinea,Vulnerable,200,1
mah meri,Malaysia,Severely endangered,1200,3
mahasui,India,Definitely endangered,496024,2
