Language,Countries,Degree of endangerment,Number of speakers,Endangerment Level
Meithei,India,vulnerable,1250000,1
Tamang,"India, Nepal",vulnerable,1196639,1
Quechua of Cuzco,Peru,vulnerable,1115000,1
Eastern Slovak,"Slovakia, Ukraine",vulnerable,1000000,1
Ligurian,"France, Italy, Monaco",definitely endangered,1000000,2
Rusyn,"Hungary, Poland, Romania, Slovakia, Ukraine",vulnerable,1000000,1
Talysh,"Azerbaijan, Iran (Islamic Republic of)",vulnerable,1000000,1
Kui,India,vulnerable,916222,1
Khasi,India,vulnerable,912000,1
Bodo,India,vulnerable,900000,1
Campidanese,Italy,definitely endangered,900000,2
K'iche',Guatemala,vulnerable,890596,1
Quechua of Ayacucho,Peru,definitely endangered,850000,2
Newar,Nepal,definitely endangered,825458,2
Mon,"Myanmar, Thailand",vulnerable,800000,1
Polesian,"Belarus, Poland, Ukraine",vulnerable,800000,1
Tamaceq,Mali,definitely endangered,800000,2
Avar,Russian Federation,vulnerable,784840,1
Mundari,India,vulnerable,750000,1
Welsh,United Kingdom of Great Britain and Northern Ireland,vulnerable,750000,1
Angika,"India, Nepal",vulnerable,740892,1
Q'eqchi',Guatemala,vulnerable,716101,1
Picard,"Belgium, France",severely endangered,700000,3
Kokborok,"Bangladesh, India",vulnerable,695000,1
Basque,"Spain, France",vulnerable,660000,1
Kabard-Cherkes,"Russian Federation, Turkey",vulnerable,650000,1
Mandeali,India,definitely endangered,611930,2
Friulian,Italy,definitely endangered,600000,2
Quechua of Ancash and Huánuco,Peru,definitely endangered,600000,2
Walloon,"Belgium, France, Luxembourg",definitely endangered,600000,2
Mising,India,definitely endangered,550000,2
Ossete,"Georgia, Russian Federation",vulnerable,550000,1
Mizo,India,vulnerable,529000,1
Dargwa,Russian Federation,vulnerable,503523,1
Aromanian,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia",definitely endangered,500000,2
Brahui,"Iran (Islamic Republic of), Pakistan, Afghanistan",vulnerable,500000,1
Languedocian,France,severely endangered,500000,3
Lezgian,"Azerbaijan, Russian Federation",vulnerable,500000,1
Mahasui,India,definitely endangered,496024,2
Magar,Nepal,definitely endangered,489383,2
Mam,Guatemala,vulnerable,477717,1
Udmurt,Russian Federation,definitely endangered,463837,2
Huasteca Náhuatl,Mexico,vulnerable,463183,1
Kumyk,Russian Federation,vulnerable,458121,1
Yakut,Russian Federation,vulnerable,456288,1
Kaqchikel,Guatemala,vulnerable,444954,1
Karbi,India,vulnerable,420000,1
Eastern Mari,Russian Federation,definitely endangered,414211,2
Ingush,Russian Federation,vulnerable,405343,1
Erzya,Russian Federation,definitely endangered,400000,2
Ho,India,vulnerable,400000,1
Judezmo,Israel,severely endangered,400000,3
Lalo,China,vulnerable,400000,1
Limousin,France,severely endangered,400000,3
Logudorese,Italy,definitely endangered,400000,2
Mapuche,Chile,definitely endangered,400000,2
Central Náhuatl,Mexico,vulnerable,395581,1
Moselle Franconian,"Germany, Belgium, France, Luxembourg",vulnerable,390000,1
Bantawa,Nepal,vulnerable,371056,1
Santa,China,vulnerable,360000,1
Mingrelian,Georgia,definitely endangered,350000,2
West Frisian,Netherlands,vulnerable,350000,1
Gurung,Nepal,definitely endangered,338925,2
Guajiro,"Colombia, Venezuela (Bolivarian Republic of)",vulnerable,318500,1
Karachay-Balkar,Russian Federation,vulnerable,302748,1
Adyge,"Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey",vulnerable,300000,1
Buryat,Russian Federation,definitely endangered,300000,2
Kurru,India,definitely endangered,300000,2
Kuvi,India,definitely endangered,300000,2
Limbu,"India, Nepal",definitely endangered,300000,2
Moroccan Judeo-Arabic,Israel,definitely endangered,300000,2
Plautdietsch,Ukraine,definitely endangered,300000,2
Pontic Greek,"Armenia, Georgia, Greece, Russian Federation, Turkey, Ukraine",definitely endangered,300000,2
Quichua,Ecuador,definitely endangered,300000,2
Waxiang,China,vulnerable,300000,1
Oyrat,"China, Kyrgyzstan, Mongolia",definitely endangered,280000,2
Garhwali,India,vulnerable,279500,1
Bade,Nigeria,vulnerable,250000,1
Breton,France,severely endangered,250000,3
Gascon,"Spain, France",definitely endangered,250000,2
Phula,China,vulnerable,250000,1
Sora,India,vulnerable,250000,1
Konyak,India,vulnerable,248000,1
Ao,India,vulnerable,243000,1
Tuvan,"China, Mongolia, Russian Federation",vulnerable,242754,1
Nafusi,Libyan Arab Jamahiriya,severely endangered,240000,3
Suret,"Armenia, Iran (Islamic Republic of), Iraq, Syrian Arab Republic, Turkey",definitely endangered,240000,2
Malto,India,definitely endangered,224926,2
Khowar,Pakistan,vulnerable,222800,1
Maiya,Pakistan,vulnerable,220000,1
Komi,Russian Federation,definitely endangered,217316,2
Alpine Provençal,"France, Italy",definitely endangered,200000,2
Gallo,France,severely endangered,200000,3
Gera,Nigeria,vulnerable,200000,1
Irula,India,vulnerable,200000,1
Kharia,India,vulnerable,200000,1
Khorasani Turk,Iran (Islamic Republic of),vulnerable,200000,1
Korku,India,vulnerable,200000,1
Moksha,Russian Federation,definitely endangered,200000,2
Western Armenian,"Iraq, Lebanon, Syrian Arab Republic",definitely endangered,200000,2
Western Cham,Cambodia,vulnerable,200000,1
Tshangla,"Bhutan, China, India",vulnerable,193000,1
Thado,India,vulnerable,191000,1
Gagauz,"Republic of Moldova, Ukraine",definitely endangered,180000,2
Kului,India,definitely endangered,170770,2
Adi,"China, India",vulnerable,170000,1
Lhota,India,vulnerable,170000,1
Nyishi,India,vulnerable,170000,1
Ngäbere,Panama,vulnerable,169130,1
Kodagu,India,definitely endangered,166187,2
Corsican,"France, Italy",definitely endangered,160000,2
Dzongkha,Bhutan,vulnerable,160000,1
Kalmyk,Russian Federation,definitely endangered,153602,2
Lak,Russian Federation,vulnerable,153373,1
Asturian-Leonese,"Spain, Portugal",definitely endangered,150000,2
Latgalian,"Latvia, Russian Federation",vulnerable,150000,1
Provençal,France,severely endangered,150000,3
Rabha,India,vulnerable,150000,1
Tamzabit,Algeria,vulnerable,150000,1
Sherpa,"China, India, Nepal",vulnerable,143693,1
Tangkhul,India,vulnerable,142000,1
Q'aanjob'al,Guatemala,vulnerable,139830,1
Badaga,India,definitely endangered,134514,2
Angami,India,vulnerable,132000,1
Laz,"Georgia, Turkey",definitely endangered,130000,2
Tabasaran,Russian Federation,vulnerable,128391,1
Chambeali,India,definitely endangered,126589,2
Abkhaz,"Georgia, Russian Federation, Turkey",vulnerable,125000,1
Phom,India,vulnerable,123000,1
Kolami,India,definitely endangered,121855,2
Navajo,United States of America,vulnerable,120000,1
Sassarese,Italy,definitely endangered,120000,2
Tamahaq,Algeria,vulnerable,120000,1
Konda,India,definitely endangered,118597,2
Sierra Totonac,Mexico,severely endangered,118367,3
Jaunsari,India,definitely endangered,114733,2
Dimasa,India,vulnerable,112000,1
Ladakhi,"China, India",vulnerable,105000,1
Salar,China,vulnerable,104503,1
Simi,India,vulnerable,104000,1
Phurhepecha,Mexico,vulnerable,102988,1
Crimean Tatar,Ukraine,severely endangered,100000,3
Dagur,China,definitely endangered,100000,2
Francoprovençal,"France, Italy, Switzerland",definitely endangered,100000,2
Gallurese,Italy,definitely endangered,100000,2
Mapuche,Argentina,severely endangered,100000,3
Mehri,"Oman, Yemen",definitely endangered,100000,2
Miskito,Nicaragua,vulnerable,100000,1
Ordos,China,definitely endangered,100000,2
Quechua of Northern Bolivia,Bolivia (Plurinational State of),vulnerable,100000,1
Suba,"Kenya, United Republic of Tanzania",vulnerable,100000,1
Garífuna,Honduras,vulnerable,98000,1
Embera,Colombia,vulnerable,95000,1
Kabui,India,vulnerable,95000,1
Shughni,"Tajikistan, Afghanistan",vulnerable,95000,1
Permyak,Russian Federation,definitely endangered,94328,2
Poqomchi',Guatemala,vulnerable,92941,1
Yimchungru,India,vulnerable,92000,1
Nogay,Russian Federation,definitely endangered,90020,2
Heiban,Sudan,vulnerable,90000,1
Quichua,Ecuador,severely endangered,90000,3
Mezquital Otomí,Mexico,definitely endangered,88789,2
Eastern Mazahua,Mexico,definitely endangered,88001,2
Burushaski,Pakistan,vulnerable,87000,1
Central Otomí,Mexico,definitely endangered,84593,2
Chokri,India,vulnerable,84000,1
Sangtam,India,vulnerable,84000,1
Ixil,Guatemala,vulnerable,83574,1
Achi',Guatemala,vulnerable,82640,1
Yem,Ethiopia,vulnerable,81613,1
Mao,India,vulnerable,81000,1
Arbëresh,Italy,definitely endangered,80000,2
Lari,Iran (Islamic Republic of),definitely endangered,80000,2
Páez,Colombia,definitely endangered,80000,2
Quechua of Santiago del Estero,Argentina,definitely endangered,80000,2
Svan,Georgia,definitely endangered,80000,2
Tai Daeng,"Lao People's Democratic Republic, Viet Nam",vulnerable,80000,1
Taznatit,Algeria,severely endangered,80000,3
Razihi,Yemen,definitely endangered,75000,2
Wakhi,"China, Pakistan, Tajikistan, Afghanistan",definitely endangered,75000,2
Bishnupriya Manipuri Creole,"Bangladesh, India",vulnerable,72899,1
Acheron,Sudan,severely endangered,70000,3
Maori,New Zealand,vulnerable,70000,1
Tai Neua,Lao People's Democratic Republic,vulnerable,70000,1
Bhadravahi,"India, Pakistan",definitely endangered,66918,2
Kinnauri,India,definitely endangered,65097,2
Gallo-Sicilian,Italy,definitely endangered,65000,2
Kurux,Bangladesh,vulnerable,65000,1
Tz'utujil,Guatemala,definitely endangered,63237,2
Chamorro,Guam (U.S.A.),vulnerable,62500,1
Ashaninka,Peru,vulnerable,62468,1
Chang,India,vulnerable,62000,1
Kuna,Panama,vulnerable,61703,1
Churahi,India,definitely endangered,61199,2
Nruanghmei,India,vulnerable,61000,1
Rengma,India,vulnerable,61000,1
Faroese,Faroe Islands,vulnerable,60000,1
Northern Tujia,China,severely endangered,60000,3
Torwali,Pakistan,definitely endangered,60000,2
Chuj,Guatemala,vulnerable,59048,1
Kachari,India,definitely endangered,59000,2
Scottish Gaelic,United Kingdom of Great Britain and Northern Ireland,definitely endangered,58552,2
Sierra de Puebla Náhuatl,Mexico,definitely endangered,57189,2
Limonese Creole,Costa Rica,definitely endangered,55000,2
Kashubian,Poland,severely endangered,53000,3
Khakas,Russian Federation,definitely endangered,52217,2
Parji,India,critically endangered,51216,4
Arvanitika,Greece,severely endangered,50000,3
Buryat,Russian Federation,severely endangered,50000,3
Buryat,"China, Mongolia",definitely endangered,50000,2
Cuona Menba,"Bhutan, China, India",vulnerable,50000,1
Eastern Cham,Viet Nam,definitely endangered,50000,2
Hmar,India,vulnerable,50000,1
Huzhu Monguor,China,severely endangered,50000,3
Paite,India,vulnerable,50000,1
Quichua,Ecuador,definitely endangered,50000,2
Soqotri,Yemen,severely endangered,50000,3
Southern Altay,Russian Federation,definitely endangered,50000,2
Transylvanian Saxon,Romania,severely endangered,50000,3
Turoyo,"Syrian Arab Republic, Turkey",severely endangered,50000,3
Võro-Seto,"Estonia, Russian Federation",definitely endangered,50000,2
West Greenlandic,Greenland (Kingdom of Denmark),vulnerable,50000,1
Western Armenian,Turkey,definitely endangered,50000,2
Zaramo,United Republic of Tanzania,definitely endangered,50000,2
Zenatiya,Algeria,critically endangered,50000,4
Papantla Totonac,Mexico,definitely endangered,49748,2
Wancho,India,vulnerable,49000,1
Bhumji,India,vulnerable,47000,1
Cosung,China,definitely endangered,47000,2
Cosung,Viet Nam,definitely endangered,47000,2
Baheng,China,vulnerable,45000,1
Lumun,Sudan,definitely endangered,45000,2
Quichua,Ecuador,severely endangered,45000,3
Chamling,Nepal,definitely endangered,44093,2
Irish,"Ireland, United Kingdom of Great Britain and Northern Ireland",definitely endangered,44000,2
Reshe,Nigeria,vulnerable,44000,1
Sierra Otomí,Mexico,vulnerable,43468,1
Phuthi,Lesotho,definitely endangered,43000,2
Rarotongan,Cook Islands,vulnerable,43000,1
Khalaj,Iran (Islamic Republic of),vulnerable,42100,1
Dungan,"Kazakhstan, Kyrgyzstan",definitely endangered,41000,2
Kheza,India,vulnerable,41000,1
Jola-Kassa,Senegal,vulnerable,40850,1
Satār,Nepal,vulnerable,40260,1
Guaraní Boliviano,"Argentina, Bolivia (Plurinational State of)",vulnerable,40000,1
Gutob,India,vulnerable,40000,1
Kheng,Bhutan,vulnerable,40000,1
Laro,Sudan,definitely endangered,40000,2
Minyong,India,vulnerable,40000,1
Mru,Myanmar,severely endangered,40000,3
Patani Malay,Thailand,vulnerable,40000,1
"Quechua of Cajatambo, Pasco and northern Junín",Peru,severely endangered,40000,3
Quichua,Ecuador,definitely endangered,40000,2
Tangsa,India,vulnerable,40000,1
Tetserret,Niger,severely endangered,40000,3
Awajun,Peru,vulnerable,39000,1
Khiamngan,India,vulnerable,38000,1
Ngile,Sudan,severely endangered,38000,3
Phunoi,Lao People's Democratic Republic,vulnerable,37311,1
Lower Mixe,Mexico,vulnerable,37000,1
Maram,India,vulnerable,37000,1
Western Mari,Russian Federation,severely endangered,36822,3
Chepang,Nepal,vulnerable,36807,1
Chontal Tabasco,Mexico,severely endangered,36514,3
Muji,China,definitely endangered,36500,2
Akatek,Guatemala,vulnerable,35763,1
Huichol,Mexico,vulnerable,35724,1
Romansh,Switzerland,definitely endangered,35095,2
Apatani,India,vulnerable,35000,1
Galo,India,vulnerable,35000,1
Korwa,India,vulnerable,35000,1
Shuar chicham,Ecuador,definitely endangered,35000,2
Ticuna,"Brazil, Colombia, Peru",definitely endangered,35000,2
Wanka Quechua,Peru,severely endangered,35000,3
Sikuani,"Colombia, Venezuela (Bolivarian Republic of)",vulnerable,34614,1
Jakaltek,Guatemala,definitely endangered,34038,2
Liangmai,India,vulnerable,34000,1
Zeme,India,vulnerable,34000,1
Highland Mazatec,Mexico,vulnerable,33859,1
Thangmi,Nepal,definitely endangered,33500,2
Nocte,India,vulnerable,33000,1
Mayo,Mexico,critically endangered,32869,4
Lauje,Indonesia,vulnerable,32000,1
Danuwar,Nepal,severely endangered,31849,3
Sirmaudi,India,critically endangered,31144,4
Abaza,"Russian Federation, Turkey",definitely endangered,31000,2
Koch,India,definitely endangered,31000,2
Amis,China,vulnerable,30000,1
Biak,Indonesia,vulnerable,30000,1
Bumthang,Bhutan,vulnerable,30000,1
Burgenland Croatian,"Austria, Hungary, Slovakia",definitely endangered,30000,2
Dzhidi,Iran (Islamic Republic of),definitely endangered,30000,2
Judeo-Berber,Israel,severely endangered,30000,3
Kham,Nepal,definitely endangered,30000,2
Ladin,Italy,definitely endangered,30000,2
Lepcha,"Bhutan, India, Nepal",definitely endangered,30000,2
Maonan,China,vulnerable,30000,1
Mok,"Myanmar, Thailand",definitely endangered,30000,2
Moro,Sudan,definitely endangered,30000,2
Mulam,China,vulnerable,30000,1
North Saami,"Finland, Norway, Russian Federation, Sweden",definitely endangered,30000,2
Quechua of Cajamarca,Peru,severely endangered,30000,3
Quichua,Ecuador,definitely endangered,30000,2
Rushani,"Tajikistan, Afghanistan",definitely endangered,30000,2
Tagin,India,vulnerable,30000,1
Tialo,Indonesia,vulnerable,30000,1
Tidikelt,Algeria,critically endangered,30000,4
Toba,Argentina,definitely endangered,30000,2
Tundra Nenets,Russian Federation,definitely endangered,30000,2
Vojvodina Rusyn,"Croatia, Serbia",definitely endangered,30000,2
Wuse,China,vulnerable,30000,1
Agul,Russian Federation,definitely endangered,29399,2
Rutul,"Azerbaijan, Russian Federation",definitely endangered,29383,2
Bateri,Pakistan,definitely endangered,29000,2
Mzieme,India,vulnerable,29000,1
Ghale,Nepal,vulnerable,28989,1
Sierra Popoluca,Mexico,vulnerable,28700,1
Kurux,Nepal,vulnerable,28615,1
Deori,India,definitely endangered,28000,2
Soyaltepec Mazatec,Mexico,vulnerable,27524,1
Western Mazahua,Mexico,definitely endangered,27037,2
Sibe,China,severely endangered,27000,3
Isthmus Náhuatl,Mexico,vulnerable,26632,1
Sunwar,Nepal,vulnerable,26611,1
Mancagne,Senegal,vulnerable,26450,1
Gadaba,India,critically endangered,26262,4
Banat Bulgarian,"Romania, Serbia",definitely endangered,25000,2
Csángó Hungarian,Romania,severely endangered,25000,3
Koda,India,vulnerable,25000,1
Minhe Monguor,China,definitely endangered,25000,2
Miskito,Honduras,vulnerable,25000,1
Olonetsian,"Finland, Russian Federation",definitely endangered,25000,2
Saek,"Lao People's Democratic Republic, Thailand",definitely endangered,25000,2
Sioux,United States of America,vulnerable,25000,1
Tamazight,Morocco,definitely endangered,25000,2
Tsakhur,"Azerbaijan, Russian Federation",definitely endangered,25000,2
Warao,"Guyana, Venezuela (Bolivarian Republic of)",definitely endangered,25000,2
Majhi,Nepal,severely endangered,24664,3
Jone,China,definitely endangered,24000,2
Andi,Russian Federation,definitely endangered,23729,2
Guambiano,Colombia,definitely endangered,23462,2
Anal,India,vulnerable,23000,1
Hawrami,"Iran (Islamic Republic of), Iraq",definitely endangered,23000,2
Juang,India,definitely endangered,23000,2
Tiwa,India,definitely endangered,23000,2
Embera,Panama,vulnerable,22485,1
Ediamat,Guinea-Bissau,vulnerable,22025,1
Mara,India,definitely endangered,22000,2
Maring,India,vulnerable,22000,1
Polci cluster,Nigeria,definitely endangered,22000,2
Sarikoli,China,definitely endangered,22000,2
Krongo,Sudan,definitely endangered,21688,2
Ashtiani,Iran (Islamic Republic of),definitely endangered,21000,2
Khunsari,Iran (Islamic Republic of),definitely endangered,21000,2
Semnani,Iran (Islamic Republic of),definitely endangered,21000,2
Plains Cree,Canada,vulnerable,20933,1
Higher Reservoir Mazatec,Mexico,vulnerable,20665,1
Chilchotla Mazatec,Mexico,vulnerable,20585,1
"Zapotec of the Valleys, middle northwest",Mexico,definitely endangered,20448,2
Aluo,China,definitely endangered,20000,2
Bangni,India,vulnerable,20000,1
Bru,Thailand,definitely endangered,20000,2
Cho-ca-nga-ca-kha,Bhutan,definitely endangered,20000,2
Crimean Tatar,"Bulgaria, Romania",severely endangered,20000,3
Dhimal,Nepal,severely endangered,20000,3
Griko,Italy,severely endangered,20000,3
Kaiowá Guarani,Brazil,vulnerable,20000,1
Karelian,"Finland, Russian Federation",definitely endangered,20000,2
Khoirao,India,vulnerable,20000,1
Manchad,India,vulnerable,20000,1
Mariupolitan Greek,Ukraine,severely endangered,20000,3
Padam,India,vulnerable,20000,1
Pemon,"Guyana, Venezuela (Bolivarian Republic of)",vulnerable,20000,1
Tacenwit,Algeria,vulnerable,20000,1
Tangwang,China,definitely endangered,20000,2
Western Neo-Aramaic,Syrian Arab Republic,definitely endangered,20000,2
Yaghnobi,Tajikistan,definitely endangered,20000,2
Yaw,Myanmar,definitely endangered,20000,2
Yeyi,Botswana,definitely endangered,20000,2
Boro,,definitely endangered,19878,2
Sorbian,Germany,definitely endangered,19500,2
Biete,India,definitely endangered,19000,2
Hrangkhol,India,vulnerable,19000,1
Terena,Brazil,severely endangered,19000,3
Kati,"Pakistan, Afghanistan",definitely endangered,18700,2
Kulung,Nepal,vulnerable,18686,1
Kaingang,Brazil,definitely endangered,18500,2
Lowland Mazatec,Mexico,vulnerable,18389,1
Vafsi,Iran (Islamic Republic of),definitely endangered,18000,2
Bassari,Senegal,vulnerable,17910,1
Bayot,Senegal,vulnerable,17150,1
Pochuri,India,vulnerable,17000,1
Tamahaq,Libyan Arab Jamahiriya,definitely endangered,17000,2
Swampy Cree,Canada,vulnerable,16685,1
Koraga,India,critically endangered,16665,4
Oyda,Ethiopia,vulnerable,16597,1
Pangvali,India,critically endangered,16285,4
Shipibo-Conibo,Peru,definitely endangered,16085,2
Amba,Uganda,vulnerable,16000,1
Tsez,Russian Federation,definitely endangered,15356,2
Bonan,China,definitely endangered,15000,2
Chrau,Viet Nam,definitely endangered,15000,2
Dari,Iran (Islamic Republic of),definitely endangered,15000,2
Dzala,Bhutan,vulnerable,15000,1
Ersu,China,definitely endangered,15000,2
Gangte,India,definitely endangered,15000,2
Gurdu-Mbaaru,Nigeria,severely endangered,15000,3
Ha-lung Tibetan,Nepal,definitely endangered,15000,2
Hlersu,China,vulnerable,15000,1
Juk,Lao People's Democratic Republic,definitely endangered,15000,2
Kwama,Ethiopia,vulnerable,15000,1
Laemae,China,severely endangered,15000,3
Lavua,Thailand,definitely endangered,15000,2
Macushi,Brazil,vulnerable,15000,1
Nahali,India,definitely endangered,15000,2
Naluo,China,vulnerable,15000,1
Nyoe,Thailand,definitely endangered,15000,2
O'odham,United States of America,definitely endangered,15000,2
O'odham,United States of America,definitely endangered,15000,2
Paiwan,China,vulnerable,15000,1
Rao,China,definitely endangered,15000,2
Semai,Malaysia,severely endangered,15000,3
Shatt,Sudan,severely endangered,15000,3
Siwi,Egypt,definitely endangered,15000,2
Tagargrent,Algeria,severely endangered,15000,3
Tayurayt,Algeria,vulnerable,15000,1
Totoli,Indonesia,vulnerable,15000,1
Aruaco,Colombia,vulnerable,14799,1
Yakkha,Nepal,critically endangered,14648,4
Kuruba,India,critically endangered,14613,4
Tuamotuan,French Polynesia (France),definitely endangered,14400,2
Katla,Sudan,definitely endangered,14208,2
Garífuna,Belize,vulnerable,14061,1
Thulung,Nepal,definitely endangered,14034,2
Bawm,"Bangladesh, India",definitely endangered,14000,2
Guajajara,Brazil,vulnerable,14000,1
Niuean,Niue,definitely endangered,14000,2
Uhunduni,Indonesia,vulnerable,14000,1
Gusilay,Senegal,vulnerable,13950,1
Xavante,Brazil,vulnerable,13303,1
Dondo,Indonesia,vulnerable,13000,1
Khampti,India,vulnerable,13000,1
Nalu,Guinea,definitely endangered,13000,2
Tagoi,Sudan,severely endangered,13000,3
Karko,Sudan,definitely endangered,12986,2
San Mateo del Mar Huave,Mexico,vulnerable,12667,1
Q'eqchi',Belize,vulnerable,12366,1
Kadaru,Sudan,definitely endangered,12360,2
Mazatlán Mazatec,Mexico,vulnerable,12340,1
Badiaranke,Guinea,severely endangered,12205,3
Alune,Indonesia,vulnerable,12000,1
Bangani,India,critically endangered,12000,4
Chamalal,Russian Federation,definitely endangered,12000,2
Chru,Viet Nam,vulnerable,12000,1
Hill Miri,India,definitely endangered,12000,2
Jinuo,China,definitely endangered,12000,2
Muya,China,vulnerable,12000,1
Samei,China,severely endangered,12000,3
Tajio,Indonesia,vulnerable,12000,1
Tobada',Indonesia,extinct,12000,5
Yurt Tatar,Russian Federation,definitely endangered,12000,2
Yaqui,Mexico,vulnerable,11806,1
Ch'orti',Guatemala,definitely endangered,11734,2
Filomeno Mata Totonac,Mexico,vulnerable,11710,1
Northern Totonac,Mexico,critically endangered,11529,4
Komo,"Ethiopia, Sudan",definitely endangered,11500,2
Tuwuli,Ghana,vulnerable,11400,1
Poqomam,Guatemala,definitely endangered,11273,2
Idu,"China, India",definitely endangered,11101,2
Kari'ña,Venezuela (Bolivarian Republic of),severely endangered,11000,3
Machiguenga,Peru,definitely endangered,11000,2
Piaroa,Venezuela (Bolivarian Republic of),vulnerable,11000,1
Tuvaluan,Tuvalu,definitely endangered,11000,2
Waunana,Colombia,vulnerable,11000,1
Noon,Senegal,vulnerable,10925,1
Sampang,Nepal,vulnerable,10810,1
Central Alaskan Yupik,United States of America,vulnerable,10400,1
Central Alaskan Yupik,United States of America,vulnerable,10400,1
Bukiyip,Papua New Guinea,vulnerable,10304,1
Saparua,Indonesia,definitely endangered,10216,2
Darai,Nepal,severely endangered,10210,3
Bandial,Senegal,vulnerable,10125,1
Bongo,Sudan,definitely endangered,10084,2
Northwestern Tarahumara,Mexico,vulnerable,10031,1
Algherese Catalan,Italy,definitely endangered,10000,2
Aragonese,Spain,definitely endangered,10000,2
Baima,China,vulnerable,10000,1
Bukharic,Uzbekistan,definitely endangered,10000,2
Bunun,China,vulnerable,10000,1
Burunge,United Republic of Tanzania,vulnerable,10000,1
Chayahuita,Peru,definitely endangered,10000,2
Cherokee,United States of America,definitely endangered,10000,2
Dalecarlian,Sweden,definitely endangered,10000,2
Huitoto,"Colombia, Peru",definitely endangered,10000,2
Hulaula,Israel,severely endangered,10000,3
Karang,Chad,vulnerable,10000,1
Karelian,Russian Federation,definitely endangered,10000,2
Karone,Senegal,vulnerable,10000,1
Kryz,Azerbaijan,severely endangered,10000,3
Kurripako,"Colombia, Venezuela (Bolivarian Republic of)",definitely endangered,10000,2
Kurtöp,Bhutan,vulnerable,10000,1
Lamgang,India,critically endangered,10000,4
Miqie,China,definitely endangered,10000,2
Mojo,Bolivia (Plurinational State of),definitely endangered,10000,2
Muot,India,critically endangered,10000,4
Naiki,India,critically endangered,10000,4
Ñandeva Guarani,Brazil,vulnerable,10000,1
Ngwaba,Nigeria,severely endangered,10000,3
North Frisian,Germany,severely endangered,10000,3
Northern Khanty,Russian Federation,definitely endangered,10000,2
Nyah Kur,Thailand,definitely endangered,10000,2
Nyenkha,Bhutan,vulnerable,10000,1
Orang Hulu,Malaysia,definitely endangered,10000,2
Otoro,Sudan,severely endangered,10000,3
Solon,China,definitely endangered,10000,2
Southern Tujia,China,severely endangered,10000,3
Taba,Indonesia,vulnerable,10000,1
Talu,China,vulnerable,10000,1
Tamazight,Tunisia,severely endangered,10000,3
Tayal,China,vulnerable,10000,1
Temein,Sudan,severely endangered,10000,3
Temiar,Malaysia,definitely endangered,10000,2
Trukhmen,"Russian Federation, Turkmenistan",definitely endangered,10000,2
Vidunda,United Republic of Tanzania,vulnerable,10000,1
Kogui,Colombia,vulnerable,9911,1
Paloor,Senegal,vulnerable,9680,1
Awakatek,Guatemala,vulnerable,9613,1
Choctaw,United States of America,vulnerable,9500,1
Choctaw,United States of America,vulnerable,9500,1
Choctaw,United States of America,vulnerable,9500,1
Gawar-Bati,"Pakistan, Afghanistan",definitely endangered,9500,2
Taruang,"China, India, Myanmar",vulnerable,9332,1
Khaling,Nepal,definitely endangered,9288,2
Western Tarahumara,Mexico,vulnerable,9196,1
Nunavimmiutitut,Canada,vulnerable,9105,1
Woods Cree,Canada,vulnerable,9095,1
Phula,Viet Nam,definitely endangered,9046,2
Dol-po,Nepal,definitely endangered,9000,2
